path edges,path latency,path latency relative,received data,cum received data,path throughput,hop count,path efficiency,path user ratio,switch count,mission data transfer,mission data transfer time
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019911264114312762,0.8947934310139742,10073527965.13738,5147612187952.7,2014705593.027476,1,0.8947934310139742,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01991112044765482,0.894792090880607,10073527773.193556,5157685715725.894,2014705554.6387112,1,0.8947920908806071,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01991097532463519,0.8947907782120541,10073527582.096388,5167759243307.99,2014705516.4192777,1,0.894790778212054,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019910828752257123,0.8947894929152355,10073527391.844677,5177832770699.835,2014705478.3689353,1,0.8947894929152355,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019910680737542166,0.8947882348967837,10073527202.437248,5187906297902.272,2014705440.4874496,1,0.8947882348967837,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01991053128752936,0.8947870040630596,10073527013.872955,5197979824916.145,2014705402.774591,1,0.8947870040630596,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01991038040927444,0.8947858003201651,10073526826.150675,5208053351742.295,2014705365.230135,1,0.8947858003201652,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019910228109849003,0.8947846235739635,10073526639.269312,5218126878381.564,2014705327.8538623,1,0.8947846235739636,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01991007439633969,0.8947834737300924,10073526453.227797,5228200404834.792,2014705290.6455593,1,0.8947834737300924,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019909919275847388,0.8947823506939814,10073526268.025085,5238273931102.817,2014705253.6050172,1,0.8947823506939814,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019909762755486376,0.8947812543708674,10073526083.660164,5248347457186.478,2014705216.7320328,1,0.8947812543708673,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019909604842383587,0.8947801846658093,10073525900.132048,5258420983086.61,2014705180.0264096,1,0.8947801846658093,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.01990944554367774,0.8947791414837055,10073525717.439785,5268494508804.05,2014705143.487957,1,0.8947791414837055,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019909284866518558,0.8947781247293096,10073525535.582449,5278568034339.632,2014705107.11649,1,0.8947781247293097,1.0,,,
"[('V_0_0', 'V_0_1'), ('V_0_1', 'V_0_2')]",0.019909122818065967,0.8947771343072436,10073525354.559137,5288641559694.19,2014705070.9118276,1,0.8947771343072436,1.0,,,
